batter,balls_faced,actual_runs_per_ball,expected_runs_per_ball,pressure_adjusted_performance
Shaiman Anwar,51,1.4313725490196079,0.7293362967298938,0.7020362522897141
Imad Wasim,53,1.2452830188679245,0.6626029480372436,0.5826800708306807
LMP Simmons,59,1.423728813559322,0.8731023248706242,0.5506264886886978
RN ten Doeschate,72,1.3194444444444444,0.8329461977240372,0.48649824672040737
DJG Sammy,58,1.3448275862068966,0.9140058060455941,0.43082178016130246
PW Borren,68,1.3235294117647058,0.899084435412231,0.42444497635247486
CH Morris,52,1.2115384615384615,0.8222805017709282,0.3892579597675334
Amjad Javed,93,1.10752688172043,0.7304594505597822,0.37706743116064795
E Chigumbura,111,1.1081081081081081,0.7402247444663785,0.3678833636417296
JP Duminy,87,1.4137931034482758,1.0500587284516554,0.3637343749966204
RA Jadeja,61,1.180327868852459,0.816807120816887,0.363520748035572
RR Sarwan,90,1.2555555555555555,0.9187249659249731,0.33683058963058243
KC Sangakkara,58,1.0344827586206897,0.7155305505115974,0.31895220810909214
SB Styris,100,1.21,0.9182039180549998,0.29179608194500023
A Flintoff,51,1.0,0.7165880857626331,0.2834119142373669
Mahmudullah,217,1.1059907834101383,0.8239486647112746,0.2820421186988637
HH Streak,85,1.0588235294117647,0.7838664983712761,0.2749570310404886
SC Williams,82,1.0975609756097562,0.8239641411569417,0.2735968344528144
CR Brathwaite,64,1.234375,0.9662450843971541,0.2681299156028459
JDS Neesham,76,1.144736842105263,0.9305085131216837,0.2142283289835795
LV van Beek,63,1.0158730158730158,0.8119897363073737,0.20388327956564217
AD Mathews,120,1.175,0.9717742761277751,0.20322572387222487
F du Plessis,51,1.2352941176470589,1.046988479709915,0.18830563793714383
AU Rashid,50,1.18,1.0017993652537935,0.17820063474620645
AR White,59,0.9491525423728814,0.7712968306703494,0.1778557117025319
AJ Bichel,113,0.9380530973451328,0.7605696356069431,0.17748346173818969
MS Dhoni,122,1.1557377049180328,0.9814751870658301,0.17426251785220262
PD Collingwood,81,1.2469135802469136,1.078503663018583,0.16840991722833068
RP Lefebvre,54,0.7407407407407407,0.5769850207270038,0.16375572001373698
LPC Silva,95,1.2105263157894737,1.0514670046181966,0.15905931117127706
JO Holder,52,1.1730769230769231,1.0262735430442265,0.1468033800326967
C de Grandhomme,55,1.1818181818181819,1.0427383435595317,0.13907983825865006
Mohammad Ashraful,72,0.8888888888888888,0.7542101494924558,0.13467873939643316
SM Pollock,64,1.046875,0.9251063464675988,0.12176865353240121
DA Miller,67,1.0895522388059702,0.9680011680751006,0.12155107073086965
PA Nixon,124,1.0161290322580645,0.9026180862605439,0.11351094599752065
A Dutt,52,0.9423076923076923,0.8319784975680714,0.11032919473962087
Sarfraz Ahmed,55,0.8,0.693372328457653,0.10662767154234702
