,match_id,date,venue,city,team1,team2,toss_winner,toss_decision,winner,team1_player1,team2_player1,team1_player2,team2_player2,team1_player3,team2_player3,team1_player4,team2_player4,team1_player5,team2_player5,team1_player6,team2_player6,team1_player7,team2_player7,team1_player8,team2_player8,team1_player9,team2_player9,team1_player10,team2_player10,team1_player11,team2_player11,teams_sorted_key,match_stage
0.0,4143.0,2019-05-30,kennington oval,london,england,south africa,1.0,field,0.0,JJ Roy,Q de Kock,JM Bairstow,HM Amla,JE Root,AK Markram,EJG Morgan,F du Plessis,BA Stokes,HE van der Dussen,JC Buttler,JP Duminy,MM Ali,D Pretorius,CR Woakes,AL Phehlukwayo,LE Plunkett,K Rabada,JC Archer,L Ngidi,AU Rashid,Imran Tahir,england||south africa,group
1.0,4144.0,2019-05-31,trent bridge,nottingham,pakistan,west indies,1.0,field,1.0,Imam-ul-Haq,CH Gayle,Fakhar Zaman,SD Hope,Babar Azam,DM Bravo,Haris Sohail,N Pooran,Sarfraz Ahmed,SO Hetmyer,Mohammad Hafeez,AD Russell,Imad Wasim,JO Holder,Shadab Khan,CR Brathwaite,Hasan Ali,AR Nurse,Wahab Riaz,SS Cottrell,Mohammad Amir,O Thomas,pakistan||west indies,group
2.0,4145.0,2019-06-01,sophia gardens,cardiff,new zealand,sri lanka,0.0,field,0.0,MJ Guptill,HDRL Thirimanne,C Munro,FDM Karunaratne,KS Williamson,MDKJ Perera,LRPL Taylor,BKG Mendis,TWM Latham,DM de Silva,JDS Neesham,AD Mathews,C de Grandhomme,BMAJ Mendis,MJ Santner,NLTC Perera,MJ Henry,I Udana,LH Ferguson,RAS Lakmal,TA Boult,SL Malinga,new zealand||sri lanka,group
3.0,4147.0,2019-06-02,kennington oval,london,bangladesh,south africa,1.0,field,0.0,Tamim Iqbal,Q de Kock,Soumya Sarkar,AK Markram,Shakib Al Hasan,F du Plessis,Mushfiqur Rahim,DA Miller,Mohammad Mithun,HE van der Dussen,Mahmudullah,JP Duminy,Mosaddek Hossain,AL Phehlukwayo,Mehedi Hasan Miraz,CH Morris,Mohammad Saifuddin,K Rabada,Mashrafe Mortaza,Imran Tahir,Mustafizur Rahman,L Ngidi,bangladesh||south africa,group
4.0,4148.0,2019-06-03,trent bridge,nottingham,england,pakistan,0.0,field,1.0,JJ Roy,Imam-ul-Haq,JM Bairstow,Fakhar Zaman,JE Root,Babar Azam,EJG Morgan,Mohammad Hafeez,BA Stokes,Sarfraz Ahmed,JC Buttler,Asif Ali,MM Ali,Shoaib Malik,CR Woakes,Wahab Riaz,JC Archer,Hasan Ali,AU Rashid,Shadab Khan,MA Wood,Mohammad Amir,england||pakistan,group
5.0,4150.0,2019-06-05,the rose bowl,southampton,india,south africa,1.0,bat,0.0,S Dhawan,HM Amla,RG Sharma,Q de Kock,V Kohli,F du Plessis,KL Rahul,HE van der Dussen,MS Dhoni,DA Miller,HH Pandya,JP Duminy,KM Jadhav,AL Phehlukwayo,B Kumar,CH Morris,Kuldeep Yadav,K Rabada,YS Chahal,Imran Tahir,JJ Bumrah,T Shamsi,india||south africa,group
6.0,4151.0,2019-06-05,kennington oval,london,bangladesh,new zealand,1.0,field,1.0,Tamim Iqbal,MJ Guptill,Soumya Sarkar,C Munro,Shakib Al Hasan,KS Williamson,Mushfiqur Rahim,LRPL Taylor,Mohammad Mithun,TWM Latham,Mahmudullah,JDS Neesham,Mosaddek Hossain,C de Grandhomme,Mohammad Saifuddin,MJ Santner,Mehedi Hasan Miraz,MJ Henry,Mashrafe Mortaza,LH Ferguson,Mustafizur Rahman,TA Boult,bangladesh||new zealand,group
7.0,4152.0,2019-06-06,trent bridge,nottingham,australia,west indies,1.0,field,0.0,DA Warner,CH Gayle,AJ Finch,E Lewis,UT Khawaja,SD Hope,SPD Smith,N Pooran,GJ Maxwell,SO Hetmyer,MP Stoinis,JO Holder,AT Carey,AD Russell,NM Coulter-Nile,CR Brathwaite,PJ Cummins,AR Nurse,MA Starc,SS Cottrell,A Zampa,O Thomas,australia||west indies,group
8.0,4153.0,2019-06-08,sophia gardens,cardiff,england,bangladesh,1.0,field,0.0,JJ Roy,Tamim Iqbal,JM Bairstow,Soumya Sarkar,JE Root,Shakib Al Hasan,JC Buttler,Mushfiqur Rahim,EJG Morgan,Mohammad Mithun,BA Stokes,Mahmudullah,CR Woakes,Mosaddek Hossain,LE Plunkett,Mohammad Saifuddin,JC Archer,Mehedi Hasan Miraz,AU Rashid,Mashrafe Mortaza,MA Wood,Mustafizur Rahman,bangladesh||england,group
9.0,4155.0,2019-06-09,kennington oval,london,australia,india,1.0,bat,1.0,DA Warner,RG Sharma,AJ Finch,S Dhawan,SPD Smith,V Kohli,UT Khawaja,HH Pandya,GJ Maxwell,MS Dhoni,MP Stoinis,KL Rahul,AT Carey,KM Jadhav,NM Coulter-Nile,B Kumar,PJ Cummins,Kuldeep Yadav,MA Starc,YS Chahal,A Zampa,JJ Bumrah,australia||india,group
10.0,4157.0,2019-06-12,the cooper associates county ground,taunton,australia,pakistan,1.0,field,0.0,AJ Finch,Imam-ul-Haq,DA Warner,Fakhar Zaman,SPD Smith,Babar Azam,GJ Maxwell,Mohammad Hafeez,SE Marsh,Sarfraz Ahmed,UT Khawaja,Shoaib Malik,AT Carey,Asif Ali,NM Coulter-Nile,Hasan Ali,PJ Cummins,Wahab Riaz,MA Starc,Mohammad Amir,KW Richardson,Shaheen Shah Afridi,australia||pakistan,group
11.0,4158.0,2019-06-14,the rose bowl,southampton,england,west indies,0.0,field,0.0,JM Bairstow,CH Gayle,JE Root,E Lewis,CR Woakes,SD Hope,BA Stokes,N Pooran,JJ Roy,SO Hetmyer,EJG Morgan,JO Holder,JC Buttler,AD Russell,LE Plunkett,CR Brathwaite,JC Archer,SS Cottrell,AU Rashid,O Thomas,MA Wood,ST Gabriel,england||west indies,group
12.0,4159.0,2019-06-15,kennington oval,london,australia,sri lanka,1.0,field,0.0,DA Warner,FDM Karunaratne,AJ Finch,MDKJ Perera,UT Khawaja,HDRL Thirimanne,SPD Smith,BKG Mendis,GJ Maxwell,AD Mathews,SE Marsh,TAM Siriwardana,AT Carey,NLTC Perera,PJ Cummins,DM de Silva,MA Starc,I Udana,JP Behrendorff,SL Malinga,KW Richardson,N Pradeep,australia||sri lanka,group
13.0,4161.0,2019-06-16,old trafford,manchester,india,pakistan,1.0,field,0.0,KL Rahul,Imam-ul-Haq,RG Sharma,Fakhar Zaman,V Kohli,Babar Azam,HH Pandya,Mohammad Hafeez,MS Dhoni,Sarfraz Ahmed,V Shankar,Shoaib Malik,KM Jadhav,Imad Wasim,B Kumar,Shadab Khan,Kuldeep Yadav,Hasan Ali,YS Chahal,Wahab Riaz,JJ Bumrah,Mohammad Amir,india||pakistan,group
14.0,4162.0,2019-06-17,the cooper associates county ground,taunton,bangladesh,west indies,0.0,field,0.0,Tamim Iqbal,CH Gayle,Soumya Sarkar,E Lewis,Shakib Al Hasan,SD Hope,Mushfiqur Rahim,N Pooran,Liton Das,SO Hetmyer,Mahmudullah,AD Russell,Mosaddek Hossain,JO Holder,Mohammad Saifuddin,DM Bravo,Mehedi Hasan Miraz,O Thomas,Mashrafe Mortaza,SS Cottrell,Mustafizur Rahman,ST Gabriel,bangladesh||west indies,group
15.0,4165.0,2019-06-19,edgbaston,birmingham,new zealand,south africa,0.0,field,0.0,MJ Guptill,Q de Kock,C Munro,HM Amla,KS Williamson,F du Plessis,LRPL Taylor,AK Markram,TWM Latham,HE van der Dussen,JDS Neesham,DA Miller,C de Grandhomme,AL Phehlukwayo,MJ Santner,CH Morris,MJ Henry,K Rabada,LH Ferguson,Imran Tahir,TA Boult,L Ngidi,new zealand||south africa,group
16.0,4166.0,2019-06-20,trent bridge,nottingham,australia,bangladesh,0.0,bat,0.0,DA Warner,Tamim Iqbal,AJ Finch,Soumya Sarkar,UT Khawaja,Shakib Al Hasan,GJ Maxwell,Mushfiqur Rahim,MP Stoinis,Liton Das,SPD Smith,Mahmudullah,AT Carey,Sabbir Rahman,NM Coulter-Nile,Mehedi Hasan Miraz,PJ Cummins,Mashrafe Mortaza,MA Starc,Rubel Hossain,A Zampa,Mustafizur Rahman,australia||bangladesh,group
17.0,4168.0,2019-06-21,headingley,leeds,england,sri lanka,1.0,bat,1.0,JM Vince,FDM Karunaratne,JM Bairstow,MDKJ Perera,JE Root,WIA Fernando,EJG Morgan,BKG Mendis,BA Stokes,AD Mathews,JC Buttler,BMAJ Mendis,MM Ali,DM de Silva,CR Woakes,NLTC Perera,AU Rashid,I Udana,JC Archer,SL Malinga,MA Wood,N Pradeep,england||sri lanka,group
18.0,4170.0,2019-06-22,old trafford,manchester,new zealand,west indies,1.0,field,0.0,MJ Guptill,CH Gayle,C Munro,SD Hope,KS Williamson,N Pooran,LRPL Taylor,SO Hetmyer,TWM Latham,JO Holder,JDS Neesham,CR Brathwaite,C de Grandhomme,AR Nurse,MJ Santner,E Lewis,MJ Henry,KAJ Roach,LH Ferguson,SS Cottrell,TA Boult,O Thomas,new zealand||west indies,group
19.0,4171.0,2019-06-23,lord's,london,pakistan,south africa,0.0,bat,0.0,Imam-ul-Haq,HM Amla,Fakhar Zaman,Q de Kock,Babar Azam,F du Plessis,Mohammad Hafeez,AK Markram,Haris Sohail,HE van der Dussen,Imad Wasim,DA Miller,Wahab Riaz,AL Phehlukwayo,Sarfraz Ahmed,CH Morris,Shadab Khan,K Rabada,Mohammad Amir,L Ngidi,Shaheen Shah Afridi,Imran Tahir,pakistan||south africa,group
20.0,4173.0,2019-06-25,lord's,london,england,australia,0.0,field,1.0,JM Vince,AJ Finch,JM Bairstow,DA Warner,JE Root,UT Khawaja,EJG Morgan,SPD Smith,BA Stokes,GJ Maxwell,JC Buttler,MP Stoinis,CR Woakes,AT Carey,MM Ali,PJ Cummins,AU Rashid,MA Starc,JC Archer,NM Lyon,MA Wood,JP Behrendorff,australia||england,group
21.0,4174.0,2019-06-26,edgbaston,birmingham,new zealand,pakistan,0.0,bat,1.0,MJ Guptill,Imam-ul-Haq,C Munro,Fakhar Zaman,KS Williamson,Babar Azam,LRPL Taylor,Mohammad Hafeez,TWM Latham,Haris Sohail,JDS Neesham,Sarfraz Ahmed,C de Grandhomme,Imad Wasim,MJ Santner,Wahab Riaz,MJ Henry,Shadab Khan,LH Ferguson,Mohammad Amir,TA Boult,Shaheen Shah Afridi,new zealand||pakistan,group
22.0,4175.0,2019-06-27,old trafford,manchester,india,west indies,0.0,bat,0.0,KL Rahul,CH Gayle,RG Sharma,SW Ambris,V Kohli,SD Hope,V Shankar,N Pooran,KM Jadhav,SO Hetmyer,MS Dhoni,JO Holder,HH Pandya,CR Brathwaite,Mohammed Shami,FA Allen,Kuldeep Yadav,KAJ Roach,YS Chahal,SS Cottrell,JJ Bumrah,O Thomas,india||west indies,group
23.0,4176.0,2019-06-28,riverside ground,chester-le-street,south africa,sri lanka,0.0,field,0.0,Q de Kock,FDM Karunaratne,HM Amla,MDKJ Perera,F du Plessis,WIA Fernando,HE van der Dussen,BKG Mendis,AK Markram,AD Mathews,JP Duminy,DM de Silva,D Pretorius,BMAJ Mendis,AL Phehlukwayo,NLTC Perera,CH Morris,I Udana,K Rabada,RAS Lakmal,Imran Tahir,SL Malinga,south africa||sri lanka,group
24.0,4178.0,2019-06-29,lord's,london,australia,new zealand,0.0,bat,0.0,DA Warner,MJ Guptill,AJ Finch,HM Nicholls,UT Khawaja,KS Williamson,SPD Smith,LRPL Taylor,MP Stoinis,TWM Latham,GJ Maxwell,C de Grandhomme,AT Carey,JDS Neesham,PJ Cummins,MJ Santner,MA Starc,IS Sodhi,JP Behrendorff,LH Ferguson,NM Lyon,TA Boult,australia||new zealand,group
25.0,4179.0,2019-06-30,edgbaston,birmingham,england,india,0.0,bat,0.0,JJ Roy,KL Rahul,JM Bairstow,RG Sharma,JE Root,V Kohli,EJG Morgan,RR Pant,BA Stokes,HH Pandya,JC Buttler,MS Dhoni,CR Woakes,KM Jadhav,LE Plunkett,Kuldeep Yadav,JC Archer,Mohammed Shami,AU Rashid,YS Chahal,MA Wood,JJ Bumrah,england||india,group
26.0,4180.0,2019-07-01,riverside ground,chester-le-street,sri lanka,west indies,1.0,field,0.0,FDM Karunaratne,CH Gayle,MDKJ Perera,SW Ambris,WIA Fernando,SD Hope,BKG Mendis,SO Hetmyer,AD Mathews,N Pooran,HDRL Thirimanne,JO Holder,I Udana,CR Brathwaite,DM de Silva,FA Allen,JDF Vandersay,SS Cottrell,CAK Rajitha,O Thomas,SL Malinga,ST Gabriel,sri lanka||west indies,group
27.0,4182.0,2019-07-02,edgbaston,birmingham,bangladesh,india,1.0,bat,1.0,Tamim Iqbal,KL Rahul,Soumya Sarkar,RG Sharma,Shakib Al Hasan,V Kohli,Mushfiqur Rahim,RR Pant,Liton Das,HH Pandya,Mosaddek Hossain,MS Dhoni,Sabbir Rahman,KD Karthik,Mohammad Saifuddin,B Kumar,Mashrafe Mortaza,Mohammed Shami,Rubel Hossain,JJ Bumrah,Mustafizur Rahman,YS Chahal,bangladesh||india,group
28.0,4183.0,2019-07-03,riverside ground,chester-le-street,england,new zealand,0.0,bat,0.0,JJ Roy,MJ Guptill,JM Bairstow,HM Nicholls,JE Root,KS Williamson,JC Buttler,LRPL Taylor,EJG Morgan,TWM Latham,BA Stokes,JDS Neesham,CR Woakes,C de Grandhomme,LE Plunkett,MJ Santner,AU Rashid,TG Southee,JC Archer,MJ Henry,MA Wood,TA Boult,england||new zealand,group
29.0,4186.0,2019-07-05,lord's,london,bangladesh,pakistan,1.0,bat,1.0,Tamim Iqbal,Fakhar Zaman,Soumya Sarkar,Imam-ul-Haq,Shakib Al Hasan,Babar Azam,Mushfiqur Rahim,Mohammad Hafeez,Liton Das,Haris Sohail,Mahmudullah,Imad Wasim,Mosaddek Hossain,Sarfraz Ahmed,Mohammad Saifuddin,Wahab Riaz,Mehedi Hasan Miraz,Shadab Khan,Mashrafe Mortaza,Mohammad Amir,Mustafizur Rahman,Shaheen Shah Afridi,bangladesh||pakistan,group
30.0,4187.0,2019-07-06,headingley,leeds,india,sri lanka,1.0,bat,0.0,KL Rahul,FDM Karunaratne,RG Sharma,MDKJ Perera,V Kohli,WIA Fernando,RR Pant,BKG Mendis,HH Pandya,AD Mathews,MS Dhoni,HDRL Thirimanne,KD Karthik,DM de Silva,RA Jadeja,NLTC Perera,B Kumar,I Udana,JJ Bumrah,CAK Rajitha,Kuldeep Yadav,SL Malinga,india||sri lanka,group
31.0,4188.0,2019-07-06,old trafford,manchester,australia,south africa,1.0,bat,1.0,DA Warner,AK Markram,AJ Finch,Q de Kock,UT Khawaja,F du Plessis,SPD Smith,HE van der Dussen,MP Stoinis,JP Duminy,GJ Maxwell,D Pretorius,AT Carey,AL Phehlukwayo,PJ Cummins,CH Morris,MA Starc,K Rabada,JP Behrendorff,Imran Tahir,NM Lyon,T Shamsi,australia||south africa,group
32.0,4190.0,2019-07-09,old trafford,manchester,india,new zealand,1.0,bat,1.0,KL Rahul,MJ Guptill,RG Sharma,HM Nicholls,V Kohli,KS Williamson,RR Pant,LRPL Taylor,KD Karthik,JDS Neesham,HH Pandya,C de Grandhomme,MS Dhoni,TWM Latham,RA Jadeja,MJ Santner,B Kumar,MJ Henry,YS Chahal,TA Boult,JJ Bumrah,LH Ferguson,india||new zealand,semi_final
33.0,4191.0,2019-07-11,edgbaston,birmingham,australia,england,0.0,bat,1.0,DA Warner,JJ Roy,AJ Finch,JM Bairstow,SPD Smith,JE Root,PSP Handscomb,EJG Morgan,AT Carey,BA Stokes,MP Stoinis,JC Buttler,GJ Maxwell,CR Woakes,PJ Cummins,LE Plunkett,MA Starc,AU Rashid,JP Behrendorff,JC Archer,NM Lyon,MA Wood,australia||england,semi_final
34.0,4658.0,2023-10-05,"narendra modi stadium, ahmedabad",ahmedabad,england,new zealand,1.0,field,1.0,JM Bairstow,DP Conway,DJ Malan,WA Young,JE Root,R Ravindra,HC Brook,DJ Mitchell,MM Ali,TWM Latham,JC Buttler,GD Phillips,LS Livingstone,MS Chapman,SM Curran,JDS Neesham,CR Woakes,MJ Santner,AU Rashid,MJ Henry,MA Wood,TA Boult,england||new zealand,group
