inning,over_bucket,pi_composite_1to10_learnedcurve
1.0,0,3.385821321449506
1.0,1,2.8984420234331054
1.0,2,2.788322649164003
1.0,3,2.602667765952389
1.0,4,2.473724500402099
1.0,5,2.364212515300356
1.0,6,2.359827714498439
1.0,7,2.3596610893423944
1.0,8,2.3495977551456315
1.0,9,2.3319406527793123
1.0,10,2.7448462841998063
1.0,11,3.1947550710867048
1.0,12,3.2442045144279117
1.0,13,3.2696918851628314
1.0,14,3.2911480280003995
1.0,15,3.3059627032318843
1.0,16,3.33238365848693
1.0,17,3.355729469232362
1.0,18,3.392747963784801
1.0,19,3.4302208109731978
1.0,20,3.4525678047416895
1.0,21,3.485626571181075
1.0,22,3.5259742670886323
1.0,23,3.5661474563623714
1.0,24,3.626471343894295
1.0,25,3.6587519597991807
1.0,26,3.698971829947579
1.0,27,3.735680372922191
1.0,28,3.7628774195885213
1.0,29,3.7982386887946675
1.0,30,3.8670260373467302
1.0,31,3.949490855413314
1.0,32,4.035737910162001
1.0,33,4.160803727206273
1.0,34,4.221900135417545
1.0,35,4.334163647381353
1.0,36,4.4693060738939945
1.0,37,4.612347864333694
1.0,38,4.760219154254249
1.0,39,4.957408339033948
1.0,40,5.267892446831165
1.0,41,6.02734297286376
1.0,42,6.58034059354429
1.0,43,6.883447435153636
1.0,44,7.1721635879178764
1.0,45,7.421739729622528
1.0,46,7.577089926688041
1.0,47,7.6074701148614725
1.0,48,7.59564439611381
1.0,49,7.5429829460979105
1.0,50,6.307070264762851
1.0,51,5.518442247022838
1.0,52,5.220052640912034
1.0,53,4.670825580610439
2.0,0,2.350548075216428
2.0,1,1.9675673971457872
2.0,2,1.8710888754503412
2.0,3,1.8595280865909927
2.0,4,1.834561794634601
2.0,5,1.795204895362617
2.0,6,1.7654529023412033
2.0,7,1.770163814928196
2.0,8,1.772499690791321
2.0,9,1.810646414481007
2.0,10,2.523294299388333
2.0,11,3.3155914354644858
2.0,12,3.3982567824607117
2.0,13,3.4351297177081968
2.0,14,3.4659801566115718
2.0,15,3.4884202760332084
2.0,16,3.5135002389933567
2.0,17,3.544939601669587
2.0,18,3.584172807924688
2.0,19,3.620911413024614
2.0,20,3.640422423694325
2.0,21,3.6775746920836685
2.0,22,3.7300519862373456
2.0,23,3.7936443647002864
2.0,24,3.8652527336452045
2.0,25,3.9099502083560798
2.0,26,3.974021834567079
2.0,27,4.040615457003943
2.0,28,4.097025215834061
2.0,29,4.188523733483792
2.0,30,4.29067181840894
2.0,31,4.40998370176737
2.0,32,4.523248866112381
2.0,33,4.6606397244121425
2.0,34,4.813900181448863
2.0,35,4.934877007082152
2.0,36,5.054713969430569
2.0,37,5.260205811197577
2.0,38,5.433657510061154
2.0,39,5.640181463753658
2.0,40,6.0510336479276505
2.0,41,7.121583670880839
2.0,42,7.755067503891324
2.0,43,8.026713283704249
2.0,44,8.226291252020236
2.0,45,8.417733765159328
2.0,46,8.52265623407815
2.0,47,8.554809778392611
2.0,48,8.626249427941191
2.0,49,8.729155199092164
