,coefficient,odds_ratio,ci_lower_odds_ratio,ci_upper_odds_ratio,p_value
Intercept,-4.69073441172064,0.009179941823119465,0.005226878766728609,0.016122687293281444,6.68436158766398e-60
C(phase)[T.Middle],-0.10661587147283326,0.8988708886330361,0.7863775698450765,1.0274566638404008,0.1180763864772677
C(phase)[T.Powerplay],0.45864630049466676,1.5819310755795315,1.2549950596756754,1.9940364773475112,0.0001032511556644704
C(phase)[T.Unknown],0.5822364632613078,1.7900373100903064,0.9361075953704625,3.4229329912094903,0.07834960963097967
C(inning)[T.2.0],0.062206241944219434,1.064181801020355,0.9942418961894581,1.1390416255473563,0.07289749300660031
C(match_stage)[T.final],-0.0850591221792127,0.918457981558837,0.5164409286323901,1.6334202367016388,0.7721489927222186
C(match_stage)[T.group],0.07899215449698689,1.082195831666351,0.6560012739119154,1.7852828411325323,0.7571071134644962
C(match_stage)[T.quarter_final],-0.0155393116025949,0.9845808005417829,0.56213191078148,1.7245051102824458,0.9566642258572609
C(match_stage)[T.semi_final],-0.0456083157230231,0.9554161103803561,0.5659234035054146,1.61297436776812,0.8644640527248475
C(match_stage)[T.super_eight],-0.0047572254423698095,0.9952540722322899,0.5968822232977706,1.659507738096605,0.9854500834189232
C(match_stage)[T.super_six],-0.04034182191321492,0.9604610763920262,0.5651933604938891,1.6321590870388567,0.8814614727912474
pi_composite_1to10_learnedcurve,0.16440302578043003,1.1786892615379783,1.1522843871107906,1.2056992100261483,6.685317804531972e-46
balls_bowled,0.0016534457986943027,1.0016548134938983,1.000785097194783,1.002525285606068,0.00019095117765818867
