batter,batter_random_intercept
A Bagai,0.0
A Balbirnie,0.0
A Codrington,0.0
A Dutt,0.0
A Flintoff,0.0
A Flower,0.0
A Kumble,0.0
A Nehra,0.0
A Nel,0.0
A Patel,0.0
A Shahzad,0.0
A Symonds,0.0
A Zampa,0.0
AA Mulla,0.0
AA Obanda,0.0
AAP Atkinson,0.0
AB Agarkar,0.0
AB de Villiers,0.0
AC Botha,0.0
AC Cummins,0.0
AC Evans,0.0
AC Gilchrist,0.0
AD Mathews,0.0
AD Russell,0.0
ADR Campbell,0.0
AF Buurman,0.0
AF Giles,0.0
AF Milne,0.0
AF Sattaur,0.0
AG Cremer,0.0
AG Prince,0.0
AJ Bichel,0.0
AJ Burger,0.0
AJ Finch,0.0
AJ Hall,0.0
AJ McKay,0.0
AJ Stewart,0.0
AJ Strauss,0.0
AK Markram,0.0
AL Phehlukwayo,0.0
AM Blignaut,0.0
AM Guruge,0.0
AM Rahane,0.0
AM Samad,0.0
AN Kervezee,0.0
AO Suji,0.0
AR Adams,0.0
AR Berenger,0.0
AR Caddick,0.0
AR Cusack,0.0
AR McBrine,0.0
AR Nurse,0.0
AR White,0.0
AS Hansra,0.0
AT Carey,0.0
AT Nidamanuru,0.0
AU Rashid,0.0
AY Karim,0.0
Abdul Razzaq,0.0
Abdullah Shafique,0.0
Abdur Razzak,0.0
Adeel Raja,0.0
Aftab Ahmed,0.0
Agha Salman,0.0
Ahmed Shehzad,0.0
Akram Khan,0.0
Al Sahariar,0.0
Alok Kapali,0.0
Amjad Ali,0.0
Amjad Javed,0.0
Asad Shafiq,0.0
Asif Ali,0.0
Azhar Mahmood,0.0
B Kumar,0.0
B Lee,0.0
B Zuiderent,0.0
BA Murphy,0.0
BA Stokes,0.0
BA Westdijk,0.0
BB McCullum,0.0
BB Seebaran,0.0
BC Lara,0.2061350426127665
BFW de Leede,0.0
BJ Haddin,0.0
BJ Hodge,0.0
BJ Patel,0.0
BKG Mendis,0.0
BL Kotze,0.0
BMAJ Mendis,0.0
BO van Rooi,0.0
BP Kruger,0.0
BP Loots,0.0
BRM Taylor,0.0
Babar Azam,0.0
C Green,0.0
C Karunaratne,0.0
C Munro,0.0
C White,0.0
C de Grandhomme,0.0
CA Ingram,0.0
CAK Rajitha,0.0
CB Mpofu,0.0
CB Wishart,0.0
CBRLS Kumara,0.0
CD Collymore,0.0
CD McMillan,0.0
CH Gayle,-0.07476331705910962
CH Morris,0.0
CJ Anderson,0.0
CJ Chibhabha,0.0
CJ Smith,0.0
CJO Smith,0.0
CK Coventry,0.0
CK Kapugedera,0.0
