feature,importance
wickets_lost,0.2284424
phase_Middle,0.16278818
phase_Powerplay,0.16076064
balls_bowled,0.087523475
pi_wicket_pressure_1to10,0.06825735
pi_match_phase_1to10,0.057295803
pi_composite_1to10_learnedcurve,0.051889822
match_stage_super_six,0.021919329
match_stage_Group,0.021170827
phase_Death,0.020862184
match_stage_super_eight,0.020723717
match_stage_group,0.0206263
inning_1.0,0.019650925
match_stage_semi_final,0.016522072
match_stage_final,0.014523989
inning_2.0,0.014470439
match_stage_quarter_final,0.012572565
